City,Strategy,Weather event,Community system,Category,Specific Impact/Sector
Albany,Provide natural habitat as much as possible in open space planning to support biodiversity and as a measure of ﬂood control.,Flash / surface flood;River flooding,Ecological function,green infrastructure,Natural Resources: Natural Habitat
Albany,"As a particularly sensitive habitat, the city should work with the Commission, as well as the Towns of Colonie and Guilderland, to protect the remaining unprotected parcels of Pine Bush habitat.",,,land use,Natural Resources: Natural Habitat
Albany,"Ensure that habitats, particularly those areas within the Corning Preserve and the Pine Bush Preserve, are not further fragmented or compromised by development by protecting or restoring key parcels that connect larger patches of habitat.",,,land use,Natural Resources: Natural Habitat
Albany,Coordinate with Albany Pine Bush Preserve Commission and local watershed organizations to initiate invasive species removal days.,,,practice & behavior,Natural Resources: Natural Habitat
Albany,Work with the Albany Pine Bush Preserve Commission and others to study impacts of climate change on the habitat and communities pine bush ecosystem and particularly vulnerable species,Changed seasonal patterns,,research & monitoring,Natural Resources: Natural Habitat
Albany,Modify tree planting guide,,,practice & behavior,Natural Resources: Urban forest
Albany,Conduct tree canopy assessment and implement comprehensive street tree planting program.,Extreme hot days,,practice & behavior;research & monitoring,Natural Resources: Urban forest
Albany,Cold water streams are critical environments. Stream restoration can help maintain these environments. Special attention should be paid to ensure that a healthy tree canopy exists along the banks to keep the streams cool.,Extreme hot days;River flooding,Water supply,green infrastructure,Natural Resources: Water quality
Albany,"Riparian buffers are vital for reducing non-point source run-off from urban and agriculture run- off. Measures should be taken to ensure that such buffers are maintained and protected, especially in the face of increased ﬂooding which could rapidly erode and eliminate these buffers.",Flash / surface flood,Agriculture;Wastewater/stormwater runoff,green infrastructure,Natural Resources: Water quality
Albany,Ensure coldwater species can migrate up stream (remove barriers) if water gets too warm.,Extreme hot days;River flooding,,practice & behavior,Natural Resources: Water quality
Albany,"Use media outlets to increase awareness of risk associated with extreme heat. Target at-risk populations, outdoor workers and those who exercise outdoors.",Extreme hot days;River flooding,Public health;Internet and communications,education,Social: Air Quality
Albany,Albany’s high asthma hospitalization rates indicates a lack of preventative care. The Department of Health should work with local health care providers to identify means of providing preventative care to these populations.,Atmospheric CO2 concentrations,Public health ,practice & behavior,Social: Air Quality
Albany,"Incorporate recreational water features in parks and plant trees in parks and along streets, especially in dense urban areas.",River flooding,Recreation,green infrastructure;physical infrastructure,Social: Heat related illness
Albany,Distribute generators/air conditioners to at-risk residents during service disruptions/high heat days,Extreme hot days;River flooding,Energy delivery,practice & behavior,Social: Heat related illness
Albany,Extend pool and spray park hours during heat waves.,Extreme hot days;River flooding,Public health,practice & behavior,Social: Heat related illness
Albany,Send mobile cooling facilities into high risk neighborhoods such as dense urban neighborhoods (heat island affect) and low-income areas.,Extreme hot days;River flooding,Public health,practice & behavior,Social: Heat related illness
Albany,"Studies show that neighborhoods with strong neighborhood networks and social ties are far more resilient. We can also add in there the concept of creating and supporting neighborhood emergency response teams to be activated in emergencies. Often, neighbors are the ﬁrst responders. The ﬁre and police departments could offer training.",,Community & culture;Emotional and mental health;Emergency services,capacity building,Social: Public Health & Wellbeing
Albany,"Implement an educational campaign focused on engaging citizens, businesses and institutions on climate change resiliency practices and initiatives, including the locations and hours of cooling centers, the potential harm of standing water, evacuation routes, and best practices for dealing with power outages.",,Community & culture;Internet and communications,education,Social: Public Health & Wellbeing
Albany,"Alert public during extreme heat events to power down unnecessary electronics in order to reduce strain on the grid and prevent blackouts, as well as take heat-related health precautions. Improve awareness of cooling center.",Extreme hot days;River flooding,Internet and communications;Energy delivery;Public health,energy;education,Social: Public Health & Wellbeing
Albany,"The City should promote opportunities for sustainable, small scale and organic food production with in the City and region. Encourage back yard and rooftop vegetable gardens, community gardens and the preservation of productive agricultural lands, including vacant urban land. Also take into account the potential need for crop adaptation.",,Agriculture;Food supply,land use,Social: Public Health & Wellbeing
Albany,Continue to assess public health impacts of climate change and develop response plan with strategies to mitigate impacts. Implement awareness programs related to the public health impacts of climate change.,,Public health,planning;education;research & monitoring,Social: Public Health & Wellbeing
Albany,"Identify locations of vulnerable populations (those who live alone, seniors, low income areas, others at-risk, etc.) and provide each home with a window card (see www.seattle.gov/emergency/ programs/snap/organized.htm) to indicate if help is needed. Have public safety ofﬁcials or resident neighborhood response teams go door to door during extreme weather including heat and ﬂooding events as well as during service (power outages) disruptions. The City should establish a voluntary list of residencies who would be checked on during such events.",Extreme hot days;Flash/ surface flood,Community & culture;Internet and communications,practice & behavior;research & monitoring,Social: Public Health & Wellbeing
Anne Arundel County,"Establish a sea level rise project team to implement the strategic plan. The team should have representation from the following county agencies: Department of Public Works, Oﬃce of Emergency Management, Oﬃce of Planning and Zoning, Department of Health, Department of Inspections and Permits, and Oﬃce of Community and Constituency Services. The team will be responsible for establishing a work program to implement the recommended actions, monitoring progress, reporting results, and interacting with State agency liaisons.",Permanent inundation,,capacity building,
Anne Arundel County,"Develop a community stewardship program to create a partnership between private property owners of culturally-signiﬁcant properties and the County for the purpose of monitoring periodic and ongoing occurrences of ﬂooding, inundation and erosion of these properties and ensuring action is taken before signiﬁcant resources are lost.",Flash / surface flood;Coastal flooding;River flooding;Permanent inundation;Storm surge,Community & culture,capacity building;research & monitoring,
Anne Arundel County,Develop and maintain a web site within the County internet system dedicated to sea level rise planning and related resources useful to the public.,Permanent inundation,Internet and communications,education,
Anne Arundel County,"Provide education opportunities for business interests, including the maritime industry, which may also be aﬀected by sea level rise impacts.",Permanent inundation,Business continuity;Fisheries,education,
Anne Arundel County,Develop a network of community representatives for those communities located in vulnerable areas. Build upon the list of representatives created for the 2011 Community Focus Group session. Use this network for information sharing and updates related to sea level rise planning.,Permanent inundation,Community & culture,education;capacity building,
Anne Arundel County,"Through the Oﬃce of Emergency Management, work with the local community network to assist vulnerable communities in developing action plans and improving emergency preparedness at the community level. In addition to planning for catastrophic events, promote awareness and preparedness for the longer term or more permanent impacts of sea level rise.",Permanent inundation,Community & culture,education;capacity building;planning,
Anne Arundel County,"Based on the work done in the vulnerability assessment to prioritize all cultural resources based on their signiﬁcance and level of threat, develop a schedule to complete investigations of all priority sites that have had little or no previous investigation. Commit funding for additional staﬀ resources (county or contractors) to complete all priority investigations.",Permanent inundation,Community & culture,funding;planning;research & monitoring,
Anne Arundel County,"Using the Maryland Comprehensive Shoreline Inventory and DNR’s Shoreline Conservation and Management Program, identify high priority sites along the County’s shoreline for protection and/or restoration.",Permanent inundation;Coastal flooding,Ecological function,green infrastructure;land use,
Anne Arundel County,Highest priority sites should be targeted for acquisition using Program Open Space or other preservation funds where available and consistent with the purpose of those funding programs,,Ecological function,land use,
Anne Arundel County,Outreach and promote the establishment of conservation easements on private properties in high priority sites to provide resource protection as well as tax incentives for private property owners.,Permanent inundation,,land use;education,
Anne Arundel County,Protect historic sites and buildings in place where ﬁnancially and technically feasible using shoreline stabilization measures.,Permanent inundation;Coastal flooding,,physical infrastructure,
Anne Arundel County,"Include identiﬁed high priority sites in future updates of the County’s Land Preservation, Parks and Recreation Plan and General Development Plan.",,Recreation,planning,
Anne Arundel County,"Incorporate the results and recommendations from the sea level rise planning process into the County’s adopted plans as necessary to ensure implementation. These plans could include the General Development Plan;Water and Sewer Master Plan;Hazard Mitigation Plan;Land Preservation, Parks and Recreation Plan;and other plans as appropriate.",Permanent inundation,,planning,
Anne Arundel County,"Determine the remaining development holding capacity within the vulnerable areas, or within the Critical Area or FEMA districts. Incorporate this into the existing development and permit tracking system in order to better assess the number of new lots being approved and permits issued in these areas. This will aid the County in determining whether additional development regulations or restrictions may be required in the future to further reduce the risk and cost of development in vulnerable areas.",Permanent inundation,Industrial operations,planning;research & monitoring,
Anne Arundel County,"Determine whether additional recommendations related to sea level rise vulnerability, both regulatory and non-regulatory, should be incorporated into the development plan review and approval process.",Permanent inundation,Industrial operations,planning;research & monitoring,
Anne Arundel County,Develop guidelines and requirements for the potential displacement of vulnerable historic resources when shoreline stabilization is not a feasible strategy for permanent protection.,Permanent inundation,Community & culture,policies,
Anne Arundel County,"Establish policy directives and develop the criteria that will be used if needed to determine when, where, and under what circumstances public infrastructure in vulnerable areas would be abandoned. Such decisions must necessarily be made far in advance of actual abandonment so that feasible alternatives can be developed and adequate public notice and input can be incorporated.",Permanent inundation,Public safety;Government continuity,policies,
Anne Arundel County,"Require Phase III level mitigation (excavation) of archaeological sites by contractors, overseen by county staﬀ, when permit or development actions not governed by existing code provisions occur on private or public land located on the prioritized l",Permanent inundation,Community & culture,policies,
Anne Arundel County,Triggering events for cultural resources review to assess and conduct mitigation should be expanded beyond the current requirements for site development plans. Other triggering actions should include capital projects including all shoreline stabiliz,Permanent inundation,Community & culture,policies,
Anne Arundel County,"Revise the County’s development regulations to discourage the granting of variances and modiﬁcations that allow stream and wetland impacts in the Critical Area, unless the applicant can demonstrate that there is no alternative site design possible that would not result in an eﬀective taking of private property.",Permanent inundation;River flooding;Coastal flooding,Wastewater/stormwater management,policies;land use,
Anne Arundel County,"Revise the County's development regulations to increase wetland and stream buffer setbacks in the Critrical Area in accordance with State Critical Area Commission recommendations, at a minimum",Permanent inundation;River flooding;Coastal floodinging,Wastewater/stormwater management,policies;land use,
Anne Arundel County,"Account for potential ﬁscal impacts of sea level rise in future cost/revenue analyses, including impacts on operating and maintenance costs and property tax revenues.",Permanent inundation,,practice & behavior,
Anne Arundel County,"As part of the ongoing study to determine and implement alternatives to on-site septic disposal in problematic areas known for septic system failures, evaluate alternative wastewater treatment solutions for properties on septic systems in areas vulnerable to sea level rise.",Permanent inundation,Waste management,research & monitoring,
Anne Arundel County,"Continue to monitor information related to sea level rise planning, data, and resources as it becomes avialable through State and Federal agencies, other local jurisdictions, and academic research",Permanent inundation,,research & monitoring,
Anne Arundel County,Determine the beneﬁts and feasibility of enrolling in FEMA’s Community Rating System program to reduce ﬂood insurance premiums for property owners in the County.,Permanent inundation,,research & monitoring,
Anne Arundel County,"Develop an integrated monitoring system with standardized recording methods to track recent, ongoing and future ﬂooding and/or inundation problems in impacted or vulnerable communities in the county. The system should identify speciﬁc locations, types of problems (road ﬂooding, storm drain failures, septic system failures, well problems, ﬂooded properties, etc.), frequency, and duration of these occurrences.",Flash/ surface flood;River flooding;Coastal flooding;Groundwater flood;Rain storms;Storm surge;Permanent inundantion,Water supply;Wastewater/stormwater management,research & monitoring,
Anne Arundel County,Evaluate the feasibility of new community well systems or connection to the public water system as alternatives for areas that are or may become vulnerable to private well contamination.,,Water supply,research & monitoring,
Anne Arundel County,"Identify those road segments in vulnerable areas where ﬂooding has been a known problem and where future impairment would have the most severe impacts, potentially cutting oﬀ access to individual properties or entire neighborhoods, and study feasible alternatives that can be put in place in both the short term and longer term to ensure road access.",Flash / surface flood;Coastal flooding;River flooding,Transportation,research & monitoring,
Anne Arundel County,"Identify those segments or components of the public water and sewer infrastructure systems in vulnerable areas where malfunctions or capacity constraints due to ﬂooding or groundwater inﬁltration have been a known problem and where future impairment would have the most severe impacts in terms of properties or neighborhoods being served, and determine the range of feasible alternatives that can be implemented in both the short term and longer term to ensure adequate service.",Flash / surface flood;Coastal flooding;River flooding,Public health;Wastewater/stormwater management,research & monitoring,
Anne Arundel County,Update the vulnerability assessment when needed as more reﬁned sea level rise projections and resources become available from the State.,Permanent inundation,,research & monitoring,
Anne Arundel County,"Assess the feasibility of potential revisions to building code requirements that would minimize sea level rise impacts to existing and future development in the FEMA 100-year non-tidal and coastal high hazard ﬂood zones. These might include increased freeboard elevation requirements, revised standards for foundation design, use of ﬂood-resistant building materials, or other building design criteria.",Permanent inundation;Coastal flooding,,research & monitoring;building codes & engineering,
Anne Arundel County,Assess whether revisions are needed to current design standards for public infrastructure capital projects to reduce future operation and maintenance problems in areas vulnerable to sea level rise impacts.,Permanent inundation;Coastal flooding,,research & monitoring;building codes & engineering,
Anne Arundel County,Assess whether revisions are needed to current State and local construction or design regulations and standards for private wells and/or private on-site septic systems in vulnerable or ﬂood-prone areas.,Flash / surface flood;Coastal flooding;River flooding,Water supply;Waste management,research & monitoring;building codes & engineering,
Anne Arundel County,Determine the eligibility of historic properties to use historic preservation tax credit programs to oﬀset costs of elevation or ﬂood-prooﬁng retroﬁts where those adaptation strategies are appropriate.,Flash / surface flood;Coastal flooding;River flooding,Community & culture,research & monitoring;financing,
Anne Arundel County,Develop an inventory of sites that can be targeted for wetland or forest mitigation projects by private developers where development plans propose oﬀ-site mitigation.,,Wastewater/stormwater management,research & monitoring;land use,
Austin,"Coordinate with regional partners. Climate impacts do not start and stop at the City limits. Becoming more resilient will involve coordination with regional partner organizations, such as the Lower Colorado River Authority (LCRA), Electric Reliability Council of Texas (ERCOT), Capital Area Council of Governments (CAPCOG), Capital Area Metropolitan Planning Organization (CAMPO), Texas Department of Transportation (TXDOT), and Travis and other surrounding counties.",,,capacity building,
Austin,Coordinate between green infrastructure strategies to further reduce the heat island effect.,River flooding;Extreme hot days,Energy,green infrastructure,
Austin,Ensure that transportation routes can recover from extreme weather events.,,Transportation,Other GHG,
Austin,Create a contingency plan that takes longer and hotter droughts into consideration.,Drought;Extreme hot days;River flooding,,physical infrastructure,
Austin,"Expand assessment and planning efforts to include climate change impacts that include vector, water and air borne disease.",Water-borne disease;Vector-borne disease;Air-borne disease,,planning,
Austin,Expand planning to include hotter temperatures and longer heat durations.,Extreme hot days;River flooding,,planning,
Austin,Include mitigation of climate-related cascading hazards.,,,planning,
Austin,Integrate resilience strategies with current departmental planning efforts.,,,planning,
Austin,Place greater emphasis on pre-flood options that enhance resilience.,,,planning,
Austin,"Refine the Land Development Code to anticipate and address increased heat, drought, and flooding.",Drought;Flash / surface flood;Extreme hot days;River flooding,,planning,
Austin,Expand commercial and residential programs to further protect citizens from extreme weather events.,,Public safety;Emergency services,policies;land use,
Austin,"Expand program to respond to more residents, especially in vulnerable communities.",,Public safety;Community & culture,practice & behavior,
Austin,Incorporate tree species that are better adapted to a new climate.,Changed seasonal patterns,,practice & behavior,
Austin,A detailed utility- wide resiliency assessment will ensure that plans in place or being developed are responsive to the anticipated magnitude of changes in conditions and will help ensure that various plans are coordinated and complementary.,,,practice & behavior,
Austin,Additional study to model future disease scenarios.,Water-borne disease;Vector-borne disease;Air-borne disease,,research & monitoring,
Austin,Conduct additional research to better understand future fire risks and response efforts.,Wildfires;Forest fire,,research & monitoring,
Austin,Conduct detailed vulnerability assessments.,,,research & monitoring,
Austin,Develop more detailed climate projections.,,,research & monitoring,
Austin,"Gain a better understanding of impacts resulting from longer and hotter droughts, interspersed with heavier precipitation",Drought;Rain storms,,research & monitoring,
Austin,Upgrade gauges and software. (early warning system),,Internet and communications,research & monitoring,
Austin,Expand wildfire mitigation strategies to land use and building codes.,Wildfires,,technology,
Baltimore,Adopt design requirements that include wet and dry ﬂood prooﬁng techniques (S),Flash/ surface flood;River flooding;Coastal flooding;Storm surge,,zoning;land use;building codes & engineering,Buildings
Baltimore,Design new projects to be resilient to a mid- century sea level rise projection and adaptable to longer-term impacts,Permanent inundation,,building codes & engineering,Buildings
Baltimore,Incorporate climate change and coastal hazard considerations into building codes by increasing freeboard requirements to two feet as buildings are redeveloped and renovated (S),Permanent inundation;Coastal flooding;Storm surge,,building codes & engineering,Buildings
Baltimore,Require new critical facilities to be designed with redundant operating systems (L),,Government continuity;Emergency services,building codes & engineering,Buildings
Baltimore,"Review and consider adoption of the International Green Construction code (S,O)",,Industrial,building codes & engineering,Buildings
Baltimore,"Review and increase Flood Protection Elevation (Base Flood Elevation + Freeboard) standards to the highest available State, Federal or local elevation level (S)",Flash/ surface flood;River flooding;Coastal flooding;Storm surge,,building codes & engineering,Buildings
Baltimore,Update Baltimore green building standards by oﬀering multiple compliance paths for new and substantially renovated construction,,Industrial,building codes & engineering,Buildings
Baltimore,Develop partnership with private fueling stations to provide backup generators in exchange for a commitment to fueling emergency response vehicles during a hazard event,Rain storms;Severe wind;Extreme winter conditions,Transportation;Emergency services;Emergency management,building codes & engineering,Buildings
Baltimore,Train all code enforcement and building inspectors about ﬂood prooﬁng techniques and the local ﬂoodplain ordinance (M),Flash/ surface flood;River flooding;Coastal flooding,,capacity building,Buildings
Baltimore,"Conduct educational outreach for city-owned, residential, commercial, and industrial buildings about proper storage and disposal of hazardous materials and heating oil",,Industrial operations,capacity building,Buildings
Baltimore,"Educate building owners within the ﬂoodplain to ensure that all electrical, mechanical, and key building systems are above the base ﬂood elevation and meet existing codes",Flash/ surface flood;River flooding;Coastal flooding,,education,Buildings
Baltimore,"Provide energy eﬃciency education to include information on conserving Emphasize electrical reductions demand hours (S) Reducing energy demand could lessen the burden on the power supply system during high heat events. It is important to build upon existing educational programs that provide information regarding energy eﬃciency and conservation, such as the Baltimore Energy Challenge (BEC).",River flooding,Energy;Energy delivery,education,Buildings
Baltimore,"Support energy eﬃciency, weatherization and renewable energy generation as part of Baltimore City schools ten-year plan (S)",,Energy;Energy delivery,education,Buildings
Baltimore,Develop a creative ﬁnancing program for ﬂood resiliency in industrial buildings,Flash/ surface flood;River flooding;Coastal flooding,Industrial,energy;planning;technology,Buildings
Baltimore,"Encourage green roof installations to include vegetated and reﬂective technologies for all new commercial, industrial, owned development (M",River flooding,Industrial,financing,Buildings
Baltimore,Continue to acquire property (including repetitive loss properties) in the special ﬂood hazard areas where feasible and appropriate (O),Flash/ surface flood;River flooding;Coastal flooding,,green infrastructure,Buildings
Baltimore,Review zoning code and strengthen language (where necessary) in order to better protect citizens and increase resiliency in buildings (M),,Public safety,land use,Buildings
Baltimore,"Utilize open space category in zoning code to protect sensitive areas (e.g. stormwater sites, steep slopes, ﬂoodways, etc.) (M",Flash/ surface flood;River flooding;Coastal flooding,Wastewater/stormwater management,land use,Buildings
Baltimore,Prioritize retroﬁtting and increasing resiliency of Public Housing units in the designated Flood Area and other high risk areas,Flash/ surface flood;River flooding;Coastal flooding,Housing access,land use,Buildings
Baltimore,Retroﬁt emergency shelter windows to withstand winds associated with coastal storm events (L),Coastal flooding;Storm surge;Severe wind,Public safety;Emergency services,Other GHG,Buildings
Baltimore,Target and encourage ﬂood resiliency retroﬁts for buildings in the designated Flood Area,Flash/ surface flood;River flooding;Coastal flooding,,physical infrastructure,Buildings
Baltimore,"Continue to regulate to the existing tidal ﬂoodplain delineation as adopted 2 February, 2012 (S)",Coastal flooding ,,physical infrastructure,Buildings
Baltimore,Develop stricter ﬂood regulations for critical facilities (M),Flash/ surface flood;River flooding;Coastal flooding,Emergency management;Emergency services,physical infrastructure,Buildings
Baltimore,Evaluate and update stormwater management regulations to avoid increases in downstream ﬂooding (S),River flooding,Wastewater/stormwater management,policies,Buildings
Baltimore,Incorporate outfall elevation regulations (S-M),,Wastewater/stormwater management,policies,Buildings
Baltimore,"Require hazardous materials stored in city-owned, residential, commercial, and industrial buildings within the ﬂoodplain to be elevated a minimum of three feet above the freeboard (M)",Flash/ surface flood;River flooding;Coastal flooding,Waste management,policies,Buildings
Baltimore,Require pre-wiring for generators at all facilities designated critical to agency operations and hazard response (M),,Energy delivery;Emergency management;Emergency services,policies,Buildings
Baltimore,"Review and amend existing building and ﬂoodplain regulations to require more ﬂood resistant new and existing structures when located in the ﬂoodplain (M,O)",Flash/ surface flood;River flooding;Coastal flooding,,policies,Buildings
Baltimore,Develop Construction Best Practices for development within ﬂoodplains,Flash/ surface flood;River flooding;Coastal flooding,,policies,Buildings
Baltimore,Ensure storage of and access to fuel for generators in critical facilities,,Energy delivery;Emergency management;Emergency services,policies,Buildings
Baltimore,Prioritize Hazard Mitigation Assistance funding for mitigation of repetitive loss properties and severe repetitive loss properties (O),,,practice & behavior,Buildings
Baltimore,"Evaluate various building design enhancements to reduce losses generated by earthquakes, ﬂoods, and storm surge",Storm surge;Flash/ surface flood;River flooding;Coastal flooding,,practice & behavior,Buildings
Baltimore,Utilize engineering studies and cost-beneﬁt analyses to identify additional mitigation needs and actions,,,practice & behavior,Buildings
Baltimore,Review local building codes to determine if revisions are needed to improve the structures ability to withstand greater wind velocities and storm impacts (S),Rain storms;Severe wind;Tornado;Hurricanes,,research & monitoring,Buildings
Baltimore,Conduct educational outreach and provide information about savings related to reduced water use (S),,Water supply;Internet and communications,research & monitoring,Buildings
Baltimore,Install energy-eﬃcient and low-water-use equipment during renovations in all City-owned buildings (M),,Energy delivery;Water supply,research & monitoring;building codes & engineering,Buildings
Baltimore,Encourage Federal and State Government to design and install ﬂoodgates and barriers at vulnerable transportation tunnels (L),Flash / surface flood;River flooding;Coastal flooding,Transportation,water conservation;education,Infrastructure
Baltimore,Adopt building code that requires anchoring of 50 gallon storage tanks or larger,Severe wind;Tornado;Hurricanes,Water supply ,water efficiency;energy,Infrastructure
Baltimore,"Develop and adopt increased level of protection for construction, redevelopment, and design of all water and wastewater facilities that incorporate future climate projections (L)",,Waste management;Wastewater/stormwater management,advocacy,Infrastructure
Baltimore,Utilize hazard mitigation design requirements that exceed minimum standards for critical facilities,,Emergency management,building codes & engineering,Infrastructure
Baltimore,Encourage information sharing within the Chesapeake Bay community to assist in developing best management practices,,,building codes & engineering,Infrastructure
Baltimore,Identify and document post damage responsibilities in memorandums of understanding as addendums to the Reservoir Watershed Management Agreement (S,,Government continuity,building codes & engineering,Infrastructure
Baltimore,Maintain appropriate agreements with Susquehanna River Basin Commission (SRBC) and the Exelon Power Company to ensure adequate water withdraws from the Susquehanna River during drought emergency,Drought,Water supply,capacity building,Infrastructure
Baltimore,"Develop a comprehensive maintenance and training program for City employees at facilities with backup generators to ensure proper placement, hook-up and function during hazard events",,Emergency management;Energy delivery,capacity building,Infrastructure
Baltimore,Identify and collaborate with bicycle groups and repair shops to assist in emergency response and accommodate alternate transportation needs (S),,Transportation;Community & culture,capacity building,Infrastructure
Baltimore,Educate the public on the dangers of driving through ﬂooded roads (S),Flash / surface flood;River flooding;Coastal flooding,Transportation ,capacity building;practice & behavior,Infrastructure
Baltimore,Expand and reinforce existing stormwater education programs (L),,Wastewater/stormwater management,capacity building;practice & behavior,Infrastructure
Baltimore,Partner with regional air quality institutions to integrate air quality measures and messaging into City climate change policy eﬀorts (O),Atmospheric CO2 concentrations,,education,Infrastructure
Baltimore,Develop and promote solid waste management actions for citizens to implement before a hazard event (S),,Waste management,education,Infrastructure
Baltimore,Continue the City’s electricity demand-response program during peak usage or pre-blackout periods (M),River flooding,Energy;Energy delivery,education,Infrastructure
Baltimore,"Increase energy eﬃciency across all sectors through education, eﬃciency retroﬁts, and building management systems.",,Energy;Energy delivery,education;practice & behavior,Infrastructure
Baltimore,Ensure adequate funding is in place to support stream maintenance (O),,Water supply,energy,Infrastructure
Baltimore,Seek funding to purchase and install generators for all city building designated as critical to agency functions (S),,Government continuity;Energy,energy,Infrastructure
Baltimore,Encourage development of Green Streets in ﬂood prone areas and throughout the City (S-O),Flash / surface flood;River flooding;Coastal flooding,Transportation,funding,Infrastructure
Baltimore,"Encourage use of permeable pavement in non- critical areas – low-use roadways, sidewalks, parking lots and alleys where soils permit proper drainage (M)",Rain storms,Transportation;Wastewater/stormwater management,funding,Infrastructure
Baltimore,Increase stormwater recharge areas and quantity management to prevent ﬂooding from overﬂows (L),Rain storms,Wastewater/stormwater management,green infrastructure,Infrastructure
Baltimore,Manage watershed forests to provide maximum beneﬁts for water quality and to maintain resiliency during extreme weather events (S),Rain storms;Flash / surface flood;River flooding,Water supply;Wastewater/stormwater management,green infrastructure,Infrastructure
Baltimore,Preserve and protect natural drainage corridors (S),,Wastewater/stormwater management,green infrastructure,Infrastructure
Baltimore,Utilize vegetation and stone to stabilize and armor unprotected shorelines (S),Coastal flooding;Permanent inundation;Storm surge,Ecological function,green infrastructure,Infrastructure
Baltimore,Encourage the development of integrated ﬂood protection systems that use structural (engineering) and non-structural (wetlands) measures (L),Coastal flooding;Permanent inundation;Storm surge,Ecological function,green infrastructure,Infrastructure
Baltimore,"Provide water conservation education, and continue to protect our watersheds to assist in maintaining water quality (S)",,Water supply,green infrastructure,Infrastructure
Baltimore,"Utilize water conservation elements such as green roofs, rain gardens, cisterns, and bioswales on residential, commercial, industrial, and City- owned properties to capture stormwater (S-M)",,Water supply,green infrastructure;physical infrastructure,Infrastructure
